ACCESSION: LQA00352
RECORD_TITLE: PI(18:0/9-HODE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(18:0/9-HODE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C45H83O14P
CH$EXACT_MASS: 879.121
CH$SMILES: CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCCCCCCC(O)\C=C\C=C/CCCCC
CH$IUPAC: InChI=1S/C45H83O14P/c1-3-5-7-9-11-12-13-14-15-16-17-18-20-24-28-32-38(47)56-34-37(35-57-60(54,55)59-45-43(52)41(50)40(49)42(51)44(45)53)58-39(48)33-29-25-21-23-27-31-36(46)30-26-22-19-10-8-6-4-2/h19,22,26,30,36-37,40-46,49-53H,3-18,20-21,23-25,27-29,31-35H2,1-2H3,(H,54,55)/b22-19-,30-26+
CH$LINK: INCHIKEY INDMOGBRINIYGQ-FHHGPMHOSA-N
CH$LINK: PUBCHEM CID:134738657
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 877.5447679
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-004i-0010000090-28aec89cfa79e54a8990
PK$NUM_PEAK: 397
PK$PEAK: m/z int. rel.int.
  877.5999 543 75
  877.6041 389 54
  877.6082 288 40
  877.6124 185 26
  877.6166 153 21
  877.6208 140 19
  877.6249 119 16
  877.6292 98 14
  877.6333 27 4
  877.6375 76 11
  877.6417 44 6
  877.6459 34 5
  877.7211 18 2
  877.8047 20 3
  878.5114 51 7
  878.5155 41 6
  878.5281 61 8
  878.5322 51 7
  878.5364 92 13
  878.5406 61 8
  878.5448 61 8
  878.549 112 16
  878.5532 82 11
  878.5574 92 13
  878.5615 51 7
  878.5657 61 8
  878.5699 41 6
  878.5741 71 10
  878.5782 41 6
  878.5825 51 7
  878.5866 20 3
  878.5908 31 4
  878.595 31 4
  878.6033 41 6
  879.5613 20 3
//
