ACCESSION: LQA00226
RECORD_TITLE: PE(16:1e/8-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PE(16:1e/8-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C41H74NO8P
CH$EXACT_MASS: 740.018
CH$SMILES: CCCCCCCCCCCCCC\C=C/OCC(COP(O)(=O)OCCN)OC(=O)CCC\C=C/CC(O)\C=C/C=C\C\C=C/CCCCC
CH$IUPAC: InChI=1S/C41H74NO8P/c1-3-5-7-9-11-13-15-16-17-18-20-22-26-30-35-47-37-40(38-49-51(45,46)48-36-34-42)50-41(44)33-29-25-24-28-32-39(43)31-27-23-21-19-14-12-10-8-6-4-2/h12,14,21,23-24,27-28,30-31,35,39-40,43H,3-11,13,15-20,22,25-26,29,32-34,36-38,42H2,1-2H3,(H,45,46)/b14-12-,23-21-,28-24-,31-27-,35-30-
CH$LINK: INCHIKEY NJTPXIVRIMQPFB-LHBRILSUSA-N
CH$LINK: PUBCHEM CID:134752550
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 738.5079288
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-000i-0238400900-ec48d67ec8f73cc53865
PK$NUM_PEAK: 677
PK$PEAK: m/z int. rel.int.
  436.2505 44 14
  436.2535 147 46
  436.2564 213 67
  436.2594 237 74
  436.2623 400 125
  436.2653 479 150
  436.2682 435 136
  436.2711 862 270
  436.2741 972 305
  436.277 1016 319
  436.28 1282 402
  436.2829 1337 419
  436.2859 1451 455
  436.2888 1327 416
  436.2918 1231 386
  436.2947 1186 372
  436.2977 1023 321
  436.3006 894 280
  436.3036 535 168
  436.3065 361 113
  436.3094 314 98
  436.3124 152 48
  436.3154 81 25
  436.3183 94 29
  436.3213 80 25
  436.3242 59 18
  436.3271 68 21
  436.3301 33 10
  436.333 12 4
  436.336 24 8
  436.3419 20 6
  436.7281 12 4
  437.2737 12 4
  437.2767 31 10
  437.2914 20 6
  437.2944 41 13
  437.2974 12 4
  452.2856 20 6
  453.2854 20 6
  454.2923 31 10
  462.494 20 6
  481.6286 20 6
  490.2754 20 6
  498.2587 20 6
  498.2681 31 10
  498.2713 31 10
  529.3391 20 6
  545.3191 20 6
  545.3323 20 6
  545.3356 31 10
  545.3389 61 19
  545.3422 20 6
  545.3488 41 13
  545.3521 41 13
  545.3553 41 13
  545.3652 31 10
  662.4456 20 6
  662.4747 20 6
  662.5037 20 6
  663.441 20 6
  663.4556 20 6
  663.4664 31 10
  663.481 51 16
  663.4846 51 16
  663.4883 20 6
  663.4955 51 16
  663.4991 31 10
  663.5101 31 10
  663.5246 20 6
  663.561 21 7
  664.4445 31 10
  664.4481 103 32
  664.4517 31 10
  664.4554 135 42
  664.459 134 42
  664.4626 156 49
  664.4663 136 43
  664.4699 146 46
  664.4736 136 43
  664.4772 167 52
  664.4808 253 79
  664.4845 262 82
  664.4881 241 76
  664.4918 219 69
  664.4954 188 59
  664.499 209 66
  664.5027 187 59
  664.5063 134 42
  664.5099 115 36
  664.5135 147 46
  664.5172 83 26
  664.5208 104 33
  664.5245 73 23
  664.5281 41 13
  664.5317 31 10
  664.5354 31 10
  736.1677 20 6
  736.1714 20 6
  736.1753 31 10
  736.1791 20 6
  736.1829 31 10
  736.1868 20 6
  736.1982 20 6
  736.2021 51 16
  736.2174 20 6
  736.2213 20 6
  736.2289 31 10
  737.4468 24 8
  737.5388 20 6
  738.4243 31 10
  738.4357 20 6
  738.4396 12 4
  738.4434 12 4
  738.4473 24 8
  738.451 72 23
  738.4549 86 27
  738.4587 136 43
  738.4626 189 59
  738.4664 263 82
  738.4702 393 123
  738.4741 547 172
  738.4779 807 253
  738.4818 980 307
  738.4856 1212 380
  738.4894 1266 397
  738.4932 1990 624
  738.4971 2299 721
  738.5009 2441 765
  738.5048 2619 821
  738.5086 2780 872
  738.5124 2855 895
  738.5162 3186 999
  738.5201 3040 953
  738.5239 2869 900
  738.5278 2987 937
  738.5316 2242 703
  738.5354 2107 661
  738.5392 1641 515
  738.5431 1309 410
  738.5469 904 283
  738.5508 573 180
  738.5546 354 111
  738.5584 251 79
  738.5623 137 43
  738.5661 95 30
  738.5699 67 21
  738.5738 41 13
  738.5776 27 8
  738.5853 24 8
  738.5891 28 9
  738.6236 13 4
  738.662 14 4
  738.8767 15 5
  739.4483 20 6
  739.4598 20 6
  739.4637 20 6
  739.4713 20 6
  739.479 61 19
  739.4828 20 6
  739.4867 20 6
  739.4905 102 32
  739.4943 31 10
  739.4982 82 26
  739.502 71 22
  739.5059 92 29
  739.5097 102 32
  739.5135 61 19
  739.5174 112 35
  739.5212 102 32
  739.525 122 38
  739.5289 71 22
  739.5327 82 26
  739.5366 102 32
  739.5404 61 19
  739.5443 92 29
  739.5481 61 19
  739.5519 20 6
  739.5557 31 10
  739.5596 31 10
  739.5634 20 6
//
