ACCESSION: LQA00326
RECORD_TITLE: PI(16:0e/20-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(16:0e/20-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C45H81O13P
CH$EXACT_MASS: 861.106
CH$SMILES: CCCCCCCCCCCCCCCCOCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCCO
CH$IUPAC: InChI=1S/C45H81O13P/c1-2-3-4-5-6-7-8-9-17-20-23-26-29-32-35-55-36-38(37-56-59(53,54)58-45-43(51)41(49)40(48)42(50)44(45)52)57-39(47)33-30-27-24-21-18-15-13-11-10-12-14-16-19-22-25-28-31-34-46/h10,12-13,15-16,19,21,24,38,40-46,48-52H,2-9,11,14,17-18,20,22-23,25-37H2,1H3,(H,53,54)/b12-10-,15-13-,19-16-,24-21-
CH$LINK: INCHIKEY KIKHEDXETIJZRU-KRYFGHCNSA-N
CH$LINK: PUBCHEM CID:134743861
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 859.5342032
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0a4i-0039010070-7e10a33c1b67fbc78f71
PK$NUM_PEAK: 413
PK$PEAK: m/z int. rel.int.
  856.8267 12 9
  856.8391 12 9
  859.337 12 9
  859.4193 12 9
  859.4562 12 9
  859.4645 23 17
  859.4727 12 9
  859.4768 12 9
  859.4809 12 9
  859.485 58 43
  859.4891 23 17
  859.4932 97 71
  859.4974 94 69
  859.5015 121 89
  859.5056 154 113
  859.5097 351 259
  859.5138 347 256
  859.5179 654 482
  859.522 888 654
  859.5261 1191 877
  859.5303 1317 970
  859.5344 1203 886
  859.5385 1249 920
  859.5426 1051 774
  859.5467 870 641
  859.5508 855 630
  859.5549 512 377
  859.559 247 182
  859.5632 196 144
  859.5673 77 57
  859.5714 130 96
  859.5755 46 34
  859.5796 46 34
  859.5837 23 17
  859.5878 12 9
  859.5961 35 26
  859.6002 23 17
  859.6331 12 9
  860.5339 12 9
  860.5873 12 9
  862.4645 12 9
  862.4934 12 9
  865.4905 12 9
  865.5029 12 9
  865.5153 12 9
//
