ACCESSION: LQA00341
RECORD_TITLE: PI(18:0/15-HETE); LC-ESI-QTOF; MS2
DATE: 2017.09.05
AUTHORS: Ryohei Aoyagi, Kazutaka Ikeda, Yosuke Isobe, Makoto Arita; RIKEN Center for Integrative Medical Sciences, Japan
LICENSE: CC-BY
COMMENT: RIKEN oxidized phospholipids
CH$NAME: PI(18:0/15-HETE)
CH$COMPOUND_CLASS: Oxidized Phospholipid
CH$FORMULA: C47H83O14P
CH$EXACT_MASS: 903.143
CH$SMILES: CCCCCCCCCCCCCCCCCC(=O)OCC(COP(O)(=O)OC1C(O)C(O)C(O)C(O)C1O)OC(=O)CCC\C=C/C\C=C/C\C=C/C=C/C(O)CCCCC
CH$IUPAC: InChI=1S/C47H83O14P/c1-3-5-7-8-9-10-11-12-13-14-17-20-23-26-30-34-40(49)58-36-39(37-59-62(56,57)61-47-45(54)43(52)42(51)44(53)46(47)55)60-41(50)35-31-27-24-21-18-15-16-19-22-25-29-33-38(48)32-28-6-4-2/h15-16,21-22,24-25,29,33,38-39,42-48,51-55H,3-14,17-20,23,26-28,30-32,34-37H2,1-2H3,(H,56,57)/b16-15-,24-21-,25-22-,33-29+
CH$LINK: INCHIKEY HNBUAJVKBGPCHT-RROHPHJISA-N
CH$LINK: PUBCHEM CID:134735825
AC$INSTRUMENT: Acquity UPLC Peptide BEH C18 column (50 x 2.1 mm; 1.7 um), Sciex TripleTOF5600
AC$INSTRUMENT_TYPE: LC-ESI-QTOF
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
AC$MASS_SPECTROMETRY: COLLISION_ENERGY 30-50
MS$FOCUSED_ION: PRECURSOR_M/Z 901.5447679
MS$FOCUSED_ION: PRECURSOR_TYPE [M-H]-
PK$SPLASH: splash10-0udi-0021000009-18a25b022dd4311f4ffe
PK$NUM_PEAK: 1108
PK$PEAK: m/z int. rel.int.
  419.2231 65 3
  419.226 66 3
  419.2289 126 5
  419.2318 192 8
  419.2347 348 14
  419.2376 431 17
  419.2405 539 22
  419.2434 606 24
  419.2462 772 31
  419.2491 945 38
  419.252 1171 47
  419.2549 1166 47
  419.2578 1094 44
  419.2607 1218 49
  419.2636 1035 42
  419.2665 945 38
  419.2694 649 26
  419.2722 749 30
  419.2751 489 20
  419.278 285 11
  419.2809 159 6
  419.2838 102 4
  419.2867 114 5
  419.2896 56 2
  419.2925 35 1
  419.2982 21 1
  419.304 12 0
  419.3705 11 0
  420.2378 20 1
  420.2436 20 1
  420.2465 12 0
  420.258 31 1
  420.2638 42 2
  420.2667 31 1
  420.2696 21 1
  420.2725 20 1
  420.2812 31 1
  437.1991 20 1
  437.202 20 1
  437.2138 20 1
  437.2345 20 1
  437.2374 31 1
  437.2404 41 2
  437.2433 31 1
  437.2492 20 1
  437.2522 51 2
  437.2551 82 3
  437.2581 82 3
  437.261 92 4
  437.264 122 5
  437.2669 71 3
  437.2699 143 6
  437.2728 92 4
  437.2758 71 3
  437.2787 92 4
  437.2817 143 6
  437.2846 61 2
  437.2876 20 1
  437.2905 31 1
  437.2935 31 1
  437.3023 20 1
  442.1042 21 1
  454.8088 21 1
  455.182 51 2
  455.185 63 3
  455.191 83 3
  455.1941 177 7
  455.1971 125 5
  455.2001 114 5
  455.2031 138 6
  455.2061 296 12
  455.2091 307 12
  455.2121 373 15
  455.2151 351 14
  455.2181 341 14
  455.2211 490 20
  455.2242 523 21
  455.2272 438 18
  455.2302 460 18
  455.2332 427 17
  455.2362 193 8
  455.2392 150 6
  455.2422 161 6
  455.2452 118 5
  455.2482 43 2
  455.2513 42 2
  455.2543 11 0
  455.2573 22 1
  455.2603 11 0
  455.2633 21 1
  455.2784 11 0
  456.0283 20 1
  456.2362 20 1
  458.2184 11 0
  463.255 20 1
  473.2142 20 1
  488.8663 20 1
  490.2899 20 1
  490.6649 20 1
  498.7837 31 1
  502.2339 31 1
  508.7466 20 1
  511.1554 20 1
  511.5829 20 1
  514.8209 31 1
  524.6413 20 1
  525.2846 41 2
  525.2975 20 1
  531.4468 20 1
  536.2685 20 1
  548.5088 20 1
  579.4981 20 1
  579.532 32 1
  581.252 20 1
  581.2554 20 1
  581.2589 11 0
  581.2623 65 3
  581.2656 67 3
  581.269 100 4
  581.2725 112 4
  581.2759 253 10
  581.2792 260 10
  581.2827 456 18
  581.2861 519 21
  581.2895 608 24
  581.2928 762 31
  581.2963 789 32
  581.2997 1076 43
  581.303 1165 47
  581.3065 1298 52
  581.3099 1055 42
  581.3133 1098 44
  581.3167 1100 44
  581.3201 1132 45
  581.3235 1060 43
  581.3269 968 39
  581.3303 760 30
  581.3337 614 25
  581.3371 326 13
  581.3405 277 11
  581.3439 208 8
  581.3473 219 9
  581.3507 93 4
  581.3541 140 6
  581.3575 47 2
  581.3609 56 2
  581.3643 35 1
  581.3677 11 0
  581.3779 11 0
  581.4664 20 1
  582.0381 11 0
  582.2866 20 1
  582.29 20 1
  582.3002 20 1
  582.3036 32 1
  582.3071 31 1
  582.3105 20 1
  582.3138 31 1
  582.3173 20 1
  582.3207 53 2
  582.3241 61 2
  582.3377 20 1
  587.7744 20 1
  593.9375 21 1
  594.9833 21 1
  597.4019 21 1
  597.5329 21 1
  599.269 31 1
  599.2725 74 3
  599.2759 128 5
  599.2794 64 3
  599.2828 105 4
  599.2863 95 4
  599.2897 193 8
  599.2932 152 6
  599.2966 218 9
  599.3001 372 15
  599.3035 401 16
  599.307 349 14
  599.3105 538 22
  599.3139 672 27
  599.3174 659 26
  599.3208 648 26
  599.3243 625 25
  599.3278 668 27
  599.3312 511 20
  599.3347 558 22
  599.3381 469 19
  599.3416 426 17
  599.345 275 11
  599.3484 228 9
  599.3519 228 9
  599.3553 77 3
  599.3588 44 2
  599.3622 44 2
  599.3657 42 2
  599.3692 44 2
  599.7769 11 0
  600.2988 42 2
  600.316 20 1
  600.3229 11 0
  600.3333 31 1
  600.3368 20 1
  600.3472 20 1
  615.2979 21 1
  615.3539 31 1
  615.858 21 1
  617.2209 20 1
  617.2244 103 4
  617.2279 125 5
  617.2314 73 3
  617.2349 52 2
  617.2384 44 2
  617.2419 160 6
  617.2454 158 6
  617.249 235 9
  617.2524 192 8
  617.2559 183 7
  617.2595 280 11
  617.2629 497 20
  617.2665 563 23
  617.27 411 16
  617.2735 497 20
  617.277 442 18
  617.2805 474 19
  617.284 495 20
  617.2875 571 23
  617.291 343 14
  617.2945 301 12
  617.298 280 11
  617.3015 193 8
  617.3051 86 3
  617.3085 96 4
  617.312 76 3
  617.3156 85 3
  617.319 21 1
  617.3226 21 1
  617.326 32 1
  618.2554 20 1
  618.2695 21 1
  618.2729 11 0
  618.287 21 1
  635.2421 20 1
  635.2492 31 1
  635.2599 20 1
  635.267 20 1
  635.2706 51 2
  635.2741 31 1
  635.2776 20 1
  635.2848 31 1
  635.2883 41 2
  635.2919 31 1
  635.2955 41 2
  635.299 31 1
  635.3026 41 2
  635.3061 41 2
  739.4582 31 1
  739.462 20 1
  739.4659 41 2
  739.4697 51 2
  739.4735 31 1
  739.4774 92 4
  739.4812 61 2
  739.485 102 4
  739.4889 51 2
  739.4927 82 3
  739.4966 112 4
  739.5004 122 5
  739.5042 61 2
  739.5081 61 2
  739.5119 92 4
  739.5157 31 1
  739.5196 61 2
  739.5234 61 2
  739.5273 51 2
  739.5311 20 1
  739.5349 41 2
  739.5388 20 1
  740.5137 20 1
  747.4025 20 1
  898.6097 20 1
  898.6266 41 2
  898.6309 41 2
  898.6436 82 3
  898.652 61 2
  898.6563 113 5
  898.6605 41 2
  898.6647 134 5
  898.6689 72 3
  898.6732 31 1
  898.6774 63 3
  898.6816 135 5
  898.6859 157 6
  898.6901 145 6
  898.6943 188 8
  898.6985 135 5
  898.7028 251 10
  898.707 240 10
  898.7112 125 5
  898.7155 260 10
  898.7197 346 14
  898.7239 248 10
  898.7282 179 7
  898.7324 167 7
  898.7366 63 3
  898.7408 136 5
  898.7451 103 4
  898.7493 134 5
  898.7535 133 5
  898.7578 92 4
  898.762 103 4
  898.7662 92 4
  898.7705 71 3
  898.7747 61 2
  898.7789 41 2
  898.7831 61 2
  898.7874 82 3
  898.7916 31 1
  898.7958 31 1
  898.8001 20 1
  898.817 41 2
  898.8339 51 2
  898.8678 20 1
  899.0285 20 1
  899.3162 20 1
  899.422 20 1
  899.6971 31 1
  899.7098 20 1
  899.7902 20 1
  900.1077 20 1
  900.2008 20 1
  900.2262 20 1
  900.2558 20 1
  900.3066 20 1
  900.3235 20 1
  900.3447 20 1
  900.3616 20 1
  900.3744 31 1
  900.3871 20 1
  900.4125 20 1
  900.4252 20 1
  900.4337 20 1
  900.4464 20 1
  900.459 20 1
  900.4971 20 1
  900.5268 20 1
  900.5353 31 1
  900.5649 20 1
  900.5692 20 1
  900.5734 31 1
  900.5861 20 1
  900.5903 20 1
  900.603 31 1
  900.6115 20 1
  900.6157 31 1
  900.6453 20 1
  900.6496 41 2
  900.6538 31 1
  900.6792 20 1
  900.747 20 1
  900.8275 20 1
  900.8613 20 1
  900.8994 20 1
  901.035 20 1
  901.0519 20 1
  901.0731 20 1
  901.1112 20 1
  901.1493 20 1
  901.1874 20 1
  901.2086 20 1
  901.2383 20 1
  901.2468 20 1
  901.251 20 1
  901.2595 41 2
  901.2637 20 1
  901.2806 20 1
  901.2849 31 1
  901.2891 31 1
  901.3526 20 1
  901.3696 90 4
  901.3907 20 1
  901.3992 47 2
  901.4034 47 2
  901.4077 68 3
  901.4374 68 3
  901.4797 243 10
  901.4839 251 10
  901.4882 264 11
  901.4924 674 27
  901.4966 966 39
  901.5009 1581 63
  901.5051 2381 96
  901.5094 3262 131
  901.5136 5644 226
  901.5178 8435 338
  901.5221 11100 445
  901.5263 14504 582
  901.5306 19989 802
  901.5348 24903 999
  901.539 22348 897
  901.5433 17189 690
  901.5475 14773 593
  901.5518 18752 752
  901.556 21180 850
  901.5602 20276 813
  901.5645 22001 883
  901.5687 21527 864
  901.5729 18236 732
  901.5771 11418 458
  901.5814 5420 217
  901.5856 2556 103
  901.5898 930 37
  901.5941 370 15
  901.5983 276 11
  901.6026 130 5
  901.6068 36 1
  901.611 94 4
  901.6153 36 1
  901.6195 36 1
  901.789 43 2
  901.9458 69 3
  902.0645 58 2
  902.0898 20 1
  902.1704 36 1
  902.3145 68 3
  902.3229 47 2
  902.3865 20 1
  902.4289 22 1
  902.4628 41 2
  902.467 20 1
  902.4713 31 1
  902.4755 20 1
  902.4883 56 2
  902.4925 34 1
  902.4968 153 6
  902.501 91 4
  902.5052 188 8
  902.5095 240 10
  902.5137 395 16
  902.5179 497 20
  902.5222 700 28
  902.5264 654 26
  902.5306 1090 44
  902.5349 1018 41
  902.5391 1438 58
  902.5434 1322 53
  902.5476 1300 52
  902.5518 1280 51
  902.5561 1531 61
  902.5603 1783 72
  902.5646 1330 53
  902.5688 1374 55
  902.5731 1118 45
  902.5773 1080 43
  902.5815 788 32
