ACCESSION: NGA04358
RECORD_TITLE: 9,13-Epoxy-3,15,16,18-labdanetetrol; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0; [M+HCOO]-
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Diterpenoids, Labdane diterpenoids
CH$NAME: 9,13-Epoxy-3,15,16,18-labdanetetrol
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C20H36O5
CH$EXACT_MASS: 356.5069
CH$SMILES: C[C@H]1CCC2[C@](C)(CC[C@H](O)[C@@]2(C)CO)[C@@]12CCC(CO)(CCO)O2
CH$IUPAC: InChI=1S/C20H36O5/c1-14-4-5-15-17(2,12-22)16(24)6-7-18(15,3)20(14)9-8-19(13-23,25-20)10-11-21/h14-16,21-24H,4-13H2,1-3H3/t14-,15?,16-,17-,18-,19?,20+/m0/s1
CH$LINK: INCHIKEY XYPPDQHBNJURHU-NSGLWTTCSA-N
CH$LINK: PUBCHEM CID:12304971
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE NEGATIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+HCOO]-
PK$SPLASH: splash10-0fri-3988880000-ba283fbb6f31af56b975
PK$NUM_PEAK: 3868
PK$PEAK: m/z int. rel.int.
  156.4 8.76 8
  156.5 12.51 12
  156.6 17.19 17
  156.7 20.1 20
  156.8 19.27 19
  156.9 14.77 14
  157.1 8.07 8
  157.2 11.36 11
  157.3 16.56 16
  157.4 18.94 18
  157.5 16.32 16
  157.6 11.18 11
  157.8 9.84 9
  157.9 14.34 14
  158.0 17.28 17
  158.1 15.91 15
  158.4 10.8 10
  158.5 16.0 15
  158.6 19.99 19
  158.7 19.14 19
  158.8 14.01 13
  159.1 8.49 8
  159.2 12.06 12
  159.3 14.12 14
  159.4 13.47 13
  159.5 11.68 11
  159.6 11.45 11
  159.7 13.56 13
  159.8 15.8 15
  159.9 15.13 15
  160.0 11.32 11
  160.3 7.62 7
  160.4 10.51 10
  160.5 12.8 12
  160.6 13.0 12
  160.7 10.58 10
  160.9 5.56 5
  161.0 8.11 8
  161.1 12.55 12
  161.2 14.39 14
  161.3 12.06 12
  161.5 8.9 8
  161.6 13.13 13
  161.7 18.49 18
  161.8 21.54 21
  161.9 20.42 20
  162.0 15.26 15
  162.2 6.72 6
  162.3 10.33 10
  162.4 16.81 16
  162.5 20.04 20
  162.6 16.56 16
  162.7 9.01 9
  162.9 5.04 5
  163.0 11.63 11
  163.1 17.03 17
  163.2 16.58 16
  163.3 11.83 11
  163.5 9.12 9
  163.6 13.29 13
  163.7 17.39 17
  163.8 18.74 18
  163.9 16.54 16
  164.0 11.95 11
  164.2 7.91 7
  164.3 11.97 11
  164.4 17.08 17
  164.5 19.21 19
  164.6 17.21 17
  164.7 13.4 13
  165.5 5.98 5
  165.6 11.59 11
  165.7 16.29 16
  165.8 16.7 16
  165.9 13.76 13
  166.1 10.85 10
  166.2 13.16 13
  166.3 15.64 15
  166.4 16.02 16
  166.5 13.6 13
  166.8 9.7 9
  166.9 13.16 13
  167.0 15.28 15
  167.1 14.16 14
  167.3 10.31 10
  167.4 12.82 12
  167.5 16.83 16
  167.6 18.38 18
  167.7 15.15 15
  168.0 8.79 8
  168.1 14.77 14
  168.2 19.25 19
  168.3 19.14 19
  168.4 15.46 15
  169.2 9.88 9
  169.3 13.07 13
  169.4 18.65 18
  169.5 22.55 22
  169.6 20.93 20
  169.7 13.98 13
  170.5 9.64 9
  170.6 11.95 11
  170.7 15.22 15
  170.8 16.81 16
  170.9 15.19 15
  171.0 11.21 11
  171.2 7.13 7
  171.3 10.06 10
  171.4 13.72 13
  171.5 14.81 14
  171.6 12.17 12
