ACCESSION: NGA03237
RECORD_TITLE: allopregnanolone; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Animal, Pregnanes
CH$NAME: allopregnanolone
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C21H34O2
CH$EXACT_MASS: 318.50393
CH$SMILES: CC(=O)C1CCC2C3CC[C@H]4C[C@H](O)CC[C@]4(C)C3CC[C@]12C
CH$IUPAC: InChI=1S/C21H34O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h14-19,23H,4-12H2,1-3H3/t14-,15+,16?,17?,18?,19?,20-,21+/m0/s1
CH$LINK: CAS 516-54-1
CH$LINK: PUBCHEM CID:83760 17216124
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-2900000000-3af51bd77728f50e93f5
PK$NUM_PEAK: 453
PK$PEAK: m/z int. rel.int.
  175.5 26.53 26
  175.6 13.15 13
  175.7 2.87 2
  184.9 2.29 2
  185.0 3.92 3
  185.1 5.4 5
  185.2 5.5 5
  185.3 4.03 4
  185.4 2.13 2
  186.6 2.04 2
  186.7 3.96 3
  186.8 9.24 9
  186.9 17.14 17
  187.0 24.83 24
  187.1 30.51 30
  187.2 34.49 34
  187.3 36.01 35
  187.4 32.03 31
  187.5 21.46 21
  187.6 8.77 8
  187.7 0.41 0
  188.3 0.59 0
  188.4 1.93 1
  188.5 5.32 5
  188.6 12.37 12
  188.7 24.63 24
  188.8 42.49 42
  188.9 63.84 63
  189.0 83.76 83
  189.1 96.76 96
  189.2 100.0 99
  189.3 93.37 93
  189.4 77.07 76
  189.5 52.32 52
  189.6 25.12 25
  189.7 5.72 5
  189.8 0.0 0
  200.4 0.29 0
  200.5 1.68 1
  200.6 4.94 4
  200.7 9.53 9
  200.8 14.09 14
  200.9 17.58 17
  201.0 20.01 19
  201.1 21.97 21
  201.2 23.42 23
  201.3 22.98 22
  201.4 19.16 19
  201.5 12.35 12
  201.6 5.22 5
  201.7 0.82 0
  212.8 3.69 3
  212.9 5.06 5
  213.0 6.31 6
  213.1 7.57 7
  213.2 9.07 9
  213.3 9.84 9
  213.4 8.33 8
  213.5 4.78 4
  213.6 1.37 1
  226.7 1.37 1
  226.8 2.52 2
  226.9 4.41 4
  227.0 6.45 6
  227.1 7.76 7
  227.2 7.85 7
  227.3 6.68 6
  227.4 4.53 4
  227.5 2.12 2
  240.8 1.07 1
  240.9 2.83 2
  241.0 4.59 4
  241.1 5.26 5
  241.2 4.49 4
  241.3 2.86 2
  256.7 1.04 1
  256.8 2.69 2
  256.9 4.37 4
  257.0 5.76 5
  257.1 6.81 6
  257.2 7.42 7
  257.3 7.31 7
  257.4 6.22 6
  257.5 4.29 4
  257.6 2.13 2
  282.6 1.61 1
  282.7 3.24 3
  282.8 5.23 5
  282.9 6.74 6
  283.0 6.92 6
  283.1 6.29 6
  283.2 6.7 6
  283.3 8.97 8
  283.4 10.95 10
  283.5 9.75 9
  283.6 5.5 5
  283.7 1.32 1
//
