ACCESSION: NGA00928
RECORD_TITLE: 3-Hydroxy-12-ursen-28-oic acid; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: 3-Hydroxy-12-ursen-28-oic acid
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C30H48O3
CH$EXACT_MASS: 456.7153
CH$SMILES: C[C@@H]1C2C3=CC[C@@H]4[C@@]5(C)CCC(O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CCC2(C(=O)O)CC[C@H]1C
CH$IUPAC: InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23?,24?,27+,28-,29-,30?/m1/s1
CH$LINK: CAS 77-52-1
CH$LINK: CHEMSPIDER 58472
CH$LINK: INCHIKEY WCGUUGGRBIKTOS-MUVOVJNASA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-004r-4889880000-f7c8891e237b8b46088a
PK$NUM_PEAK: 3788
PK$PEAK: m/z int. rel.int.
  104.1 14.78 14
  104.2 17.83 17
  104.3 15.9 15
  104.4 9.95 9
  104.6 4.87 4
  104.7 8.29 8
  104.8 11.48 11
  104.9 12.39 12
  105.0 11.65 11
  105.1 10.73 10
  105.2 10.81 10
  105.3 12.22 12
  105.4 14.42 14
  105.5 15.39 15
  105.6 13.24 13
  105.7 8.8 8
  105.9 5.85 5
  106.0 9.24 9
  106.1 12.6 12
  106.2 13.46 13
  106.3 11.6 11
  106.5 8.47 8
  106.6 10.9 10
  106.7 14.16 14
  106.8 14.55 14
  106.9 10.51 10
  107.1 2.68 2
  107.2 5.97 5
  107.3 12.59 12
  107.4 17.83 17
  107.5 18.24 18
  107.6 14.24 14
  107.8 10.76 10
  107.9 15.46 15
  108.0 19.24 19
  108.1 17.82 17
  108.2 12.35 12
  108.4 7.13 7
  108.5 10.03 10
  108.6 13.3 13
  108.7 13.99 13
  108.8 11.24 11
  109.1 6.89 6
  109.2 11.43 11
  109.3 14.09 14
  109.4 12.48 12
  109.6 7.47 7
  109.7 10.04 10
  109.8 14.09 14
  109.9 16.16 16
  110.0 14.74 14
  110.1 10.47 10
  110.3 4.05 4
  110.4 6.81 6
  110.5 11.85 11
  110.6 14.89 14
  110.7 13.88 13
  110.8 10.73 10
  111.5 6.13 6
  111.6 7.36 7
  111.7 11.74 11
  111.8 16.67 16
  111.9 18.09 18
  112.0 14.71 14
  112.1 9.45 9
  112.3 8.12 8
  112.4 12.51 12
  112.5 15.78 15
  112.6 14.62 14
  112.7 9.15 9
  112.9 2.03 2
  113.0 6.07 6
  113.1 12.16 12
  113.2 15.34 15
  113.3 13.7 13
  114.1 5.57 5
  114.2 8.21 8
  114.3 12.56 12
  114.4 15.2 15
  114.5 14.45 14
  114.6 11.22 11
  114.8 8.28 8
  114.9 10.81 10
  115.0 13.35 13
  115.1 13.38 13
  115.2 10.69 10
  115.4 6.04 6
  115.5 8.08 8
  115.6 12.71 12
  115.7 17.13 17
  115.8 18.43 18
  115.9 15.66 15
  116.0 10.65 10
  116.2 6.07 6
  116.3 9.75 9
  116.4 14.46 14
