ACCESSION: NGA03174
RECORD_TITLE: Hyrcanogenin; LC-ESI-QQQ; MS2; Frag=135.0V CID@15.0 ; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Cardanolides
CH$NAME: Hyrcanogenin
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C23H30O5
CH$EXACT_MASS: 386.49255000000005
CH$SMILES: C[C@]12CCC3C(CCC4=CC(O)CC[C@@]43C=O)C1(O)CCC2C1=CC(=O)OC1
CH$IUPAC: InChI=1S/C23H30O5/c1-21-7-5-18-19(3-2-15-11-16(25)4-8-22(15,18)13-24)23(21,27)9-6-17(21)14-10-20(26)28-12-14/h10-11,13,16-19,25,27H,2-9,12H2,1H3/t16?,17?,18?,19?,21-,22-,23?/m1/s1
CH$LINK: CAS 14530-91-7
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0fkc-0925000000-b0ab4222ddd661e95e5c
PK$NUM_PEAK: 685
PK$PEAK: m/z int. rel.int.
  227.8 0.11 0
  227.9 0.24 0
  228.0 0.24 0
  228.1 0.17 0
  228.2 0.14 0
  228.3 0.25 0
  228.4 0.68 0
  228.5 1.37 1
  228.6 1.99 1
  228.7 2.37 2
  228.8 2.98 2
  228.9 4.49 4
  229.0 6.77 6
  229.1 8.69 8
  229.2 9.0 8
  229.3 7.29 7
  229.4 4.37 4
  229.5 1.7 1
  232.7 1.19 1
  232.8 3.09 3
  232.9 6.54 6
  233.0 10.11 10
  233.1 11.38 11
  233.2 9.35 9
  233.3 5.55 5
  233.4 2.22 2
  236.7 0.92 0
  236.8 2.59 2
  236.9 4.61 4
  237.0 6.26 6
  237.1 6.88 6
  237.2 6.06 6
  237.3 3.98 3
  237.4 1.66 1
  260.6 1.27 1
  260.7 3.07 3
  260.8 4.89 4
  260.9 5.76 5
  261.0 6.27 6
  261.1 7.63 7
  261.2 9.29 9
  261.3 9.29 9
  261.4 6.89 6
  261.5 3.55 3
  262.5 1.55 1
  262.6 2.99 2
  262.7 5.04 5
  262.8 7.34 7
  262.9 10.19 10
  263.0 13.64 13
  263.1 16.76 16
  263.2 18.63 18
  263.3 18.87 18
  263.4 16.7 16
  263.5 11.55 11
  263.6 5.05 5
  263.7 0.65 0
  272.6 1.62 1
  272.7 2.86 2
  272.8 4.39 4
  272.9 5.94 5
  273.0 6.84 6
  273.1 6.58 6
  273.2 5.49 5
  273.3 4.43 4
  273.4 3.57 3
  273.5 2.49 2
  276.6 2.89 2
  276.7 3.53 3
  276.8 5.48 5
  276.9 9.73 9
  277.0 15.42 15
  277.1 20.43 20
  277.2 23.16 23
  277.3 22.73 22
  277.4 18.49 18
  277.5 11.23 11
  277.6 3.97 3
  280.8 1.0 0
  280.9 2.16 2
  281.0 3.77 3
  281.1 5.04 5
  281.2 5.05 5
  281.3 3.7 3
  286.6 1.98 1
  286.7 3.08 3
  286.8 4.79 4
  286.9 6.62 6
  287.0 8.31 8
  287.1 9.88 9
  287.2 10.77 10
  287.3 9.86 9
  287.4 6.92 6
  287.5 3.29 3
  294.7 0.92 0
  294.8 2.05 2
  294.9 3.87 3
  295.0 6.0 5
  295.1 7.75 7
  295.2 8.51 8
  295.3 8.16 8
  295.4 6.92 6
  295.5 5.07 5
  295.6 2.86 2
  304.5 1.28 1
  304.6 2.92 2
  304.7 5.66 5
  304.8 9.69 9
  304.9 14.17 14
  305.0 17.92 17
  305.1 21.09 21
  305.2 24.38 24
  305.3 26.33 26
  305.4 23.85 23
  305.5 16.31 16
  305.6 7.3 7
  305.7 1.67 1
  322.4 1.67 1
  322.5 5.63 5
  322.6 11.55 11
  322.7 19.12 19
  322.8 31.22 31
  322.9 49.91 49
  323.0 71.25 71
  323.1 88.04 87
  323.2 97.39 97
  323.3 100.0 99
  323.4 92.84 92
  323.5 71.11 71
  323.6 39.13 39
  323.7 11.04 11
  323.8 0.01 0
  332.6 2.11 2
  332.7 4.89 4
  332.8 10.99 10
  332.9 19.8 19
  333.0 28.08 28
  333.1 32.27 32
  333.2 31.94 31
  333.3 28.94 28
  333.4 23.86 23
  333.5 15.99 15
  333.6 6.92 6
  333.7 0.68 0
  340.3 0.08 0
  340.4 0.86 0
  340.5 5.02 5
  340.6 11.33 11
  340.7 17.58 17
  340.8 24.07 24
  340.9 35.41 35
  341.0 54.88 54
  341.1 77.41 77
  341.2 92.48 92
  341.3 93.0 92
  341.4 78.6 78
  341.5 53.53 53
  341.6 25.85 25
  341.7 5.28 5
  341.8 0.0 0
  350.3 0.27 0
  350.4 2.59 2
  350.5 7.75 7
  350.6 14.73 14
  350.7 22.51 22
  350.8 32.32 32
  350.9 45.75 45
  351.0 61.7 61
  351.1 76.9 76
  351.2 88.18 88
  351.3 91.39 91
  351.4 81.0 80
  351.5 56.14 56
  351.6 26.0 25
  351.7 3.93 3
  368.7 3.26 3
  368.8 4.66 4
  368.9 7.45 7
  369.0 12.54 12
  369.1 19.59 19
  369.2 25.61 25
  369.3 26.36 26
  369.4 20.34 20
  369.5 10.74 10
  369.6 2.75 2
//
