ACCESSION: NGA00674
RECORD_TITLE: Foetoside C; LC-ESI-QQQ; MS2;  Frag=135.0V CID@10.0 ; [M+Na]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Triterpenoids
CH$NAME: Foetoside C
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C58H94O25
CH$EXACT_MASS: 1191.3808800000002
CH$SMILES: CC1OC(OC2C(OC3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)CCC6(C(=O)OC6OC(COC7OC(CO)C(O)C(O)C7O)C(O)C(O)C6O)CC[C@]45C)C3(C)C)OCC(O)C2O)C(O)C(OC2OCC(O)C(O)C2O)C1O
CH$IUPAC: InChI=1S/C58H94O25/c1-24-34(62)45(81-48-41(69)35(63)27(60)21-74-48)44(72)50(77-24)82-46-36(64)28(61)22-75-51(46)80-33-12-13-55(6)31(54(33,4)5)11-14-57(8)32(55)10-9-25-26-19-53(2,3)15-17-58(26,18-16-56(25,57)7)52(73)83-49-43(71)40(68)38(66)30(79-49)23-76-47-42(70)39(67)37(65)29(20-59)78-47/h9,24,26-51,59-72H,10-23H2,1-8H3/t24?,26?,27?,28?,29?,30?,31?,32?,33?,34?,35?,36?,37?,38?,39?,40?,41?,42?,43?,44?,45?,46?,47?,48?,49?,50?,51?,55-,56+,57+,58?/m0/s1
CH$LINK: CAS 94483-11-1
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+Na]+
PK$SPLASH: splash10-03di-6889444444-34145a2f4faaff0c6798
PK$NUM_PEAK: 9687
PK$PEAK: m/z int. rel.int.
  138.0 15.28 15
  138.1 14.45 14
  138.2 13.74 13
  138.3 12.48 12
  138.6 11.54 11
  138.7 13.95 13
  138.8 15.94 15
  138.9 16.79 16
  139.0 16.25 16
  139.1 14.28 14
  139.2 11.29 11
  139.5 8.37 8
  139.6 10.11 10
  139.7 12.63 12
  139.8 15.31 15
  139.9 17.4 17
  140.0 18.32 18
  140.1 17.8 17
  140.2 15.9 15
  140.3 13.53 13
  141.1 12.12 12
  141.2 13.49 13
  141.3 16.07 16
  141.4 18.1 18
  141.5 17.76 17
  141.6 15.05 15
  141.7 11.82 11
  142.6 11.8 11
  142.7 13.33 13
  142.8 15.38 15
  142.9 16.79 16
  143.0 16.74 16
  143.1 15.58 15
  143.2 14.98 14
  143.3 15.98 15
  143.4 17.95 17
  143.5 19.19 19
  143.6 18.55 18
  143.7 16.15 16
  143.8 13.16 13
  143.9 11.02 11
  144.3 9.85 9
  144.4 10.71 10
  144.5 12.71 12
  144.6 14.74 14
  144.7 15.12 15
  144.8 13.35 13
  145.0 10.94 10
  145.1 12.81 12
  145.2 15.04 15
  145.3 16.23 16
  145.4 16.64 16
  145.5 16.76 16
  145.6 16.2 16
  145.7 14.74 14
  146.0 12.73 12
  146.1 13.86 13
  146.2 15.36 15
  146.3 16.44 16
  146.4 16.27 16
  146.5 15.02 15
  146.8 14.75 14
  146.9 16.34 16
  147.0 18.06 18
  147.1 19.42 19
  147.2 19.81 19
  147.3 18.86 18
  147.4 16.96 16
  147.5 15.13 15
  149.0 8.92 8
  149.1 10.31 10
  149.2 12.0 11
  149.3 13.04 13
  149.4 13.01 12
  149.5 12.25 12
  149.6 11.21 11
  150.0 10.63 10
  150.1 11.57 11
  150.2 12.35 12
  150.3 13.51 13
  150.4 15.23 15
  150.5 16.74 16
  150.6 16.88 16
  150.7 15.31 15
  150.8 12.77 12
  151.5 11.73 11
  151.6 12.76 12
  151.7 13.89 13
  151.8 14.45 14
  151.9 14.26 14
  152.0 13.2 13
  152.1 11.25 11
  152.4 9.02 9
  152.5 10.83 10
  152.6 11.8 11
  152.7 11.25 11
  153.0 10.32 10
  153.1 11.56 11
  153.2 13.05 13
  153.3 14.02 14
  153.4 13.41 13
  153.5 11.34 11
  153.7 9.25 9
  153.8 11.3 11
  153.9 14.12 14
  154.0 15.92 15
  154.1 15.77 15
  154.2 14.13 14
  154.3 12.25 12
  155.1 10.03 10
  155.2 11.14 11
  155.3 12.42 12
  155.4 13.16 13
  155.5 13.05 13
  155.6 12.83 12
  155.7 13.37 13
  155.8 14.31 14
  155.9 14.31 14
  156.0 12.83 12
  156.2 10.73 10
  156.3 12.24 12
  156.4 14.67 14
  156.5 16.68 16
  156.6 17.2 17
  156.7 15.79 15
  156.8 13.07 13
  157.1 10.03 10
  157.2 11.4 11
  157.3 12.89 12
  157.4 14.44 14
  157.5 16.21 16
  157.6 18.19 18
  157.7 20.06 20
  157.8 20.62 20
  157.9 18.53 18
  158.0 13.91 13
  158.1 8.87 8
  158.3 6.55 6
  158.4 9.95 9
  158.5 14.19 14
  158.6 17.08 17
  158.7 17.62 17
  158.8 16.26 16
  158.9 14.08 14
  159.0 11.98 11
  159.1 10.43 10
  159.7 9.17 9
  159.8 10.02 10
  159.9 10.64 10
  160.0 10.7 10
  160.1 10.74 10
  160.2 11.82 11
  160.3 14.25 14
  160.4 16.91 16
  160.5 18.2 18
  160.6 17.55 17
  160.7 15.73 15
  160.8 13.97 13
  161.9 10.87 10
  162.0 14.2 14
  162.1 17.81 17
  162.2 19.51 19
  162.3 18.6 18
  162.4 15.98 15
  162.5 13.03 13
  163.2 11.36 11
  163.3 12.37 12
  163.4 15.87 15
  163.5 19.9 19
  163.6 21.71 21
  163.7 20.11 20
  163.8 16.33 16
  163.9 12.53 12
  164.2 11.54 11
  164.3 13.03 13
  164.4 14.02 14
  164.5 14.4 14
  164.6 14.4 14
  164.7 14.01 13
  164.8 13.15 13
  164.9 12.2 12
  165.4 10.8 10
  165.5 11.68 11
  165.6 14.1 14
  165.7 17.16 17
  165.8 18.84 18
  165.9 17.64 17
  166.0 14.25 14
  166.1 11.09 11
  166.3 10.95 10
  166.4 12.27 12
  166.5 12.94 12
  166.6 12.94 12
  166.7 12.93 12
  166.8 13.19 13
  166.9 13.25 13
  167.0 12.47 12
  167.1 11.19 11
  167.4 10.71 10
  167.5 11.72 11
  167.6 13.34 13
  167.7 15.37 15
  167.8 17.23 17
  167.9 18.28 18
  168.0 18.09 18
  168.1 16.68 16
  168.2 14.69 14
  169.8 9.28 9
  169.9 10.35 10
  170.0 11.61 11
  170.1 12.8 12
  170.2 13.96 13
  170.3 14.88 14
  170.4 15.09 15
  170.5 14.18 14
  171.2 9.58 9
  171.3 11.25 11
  171.4 12.81 12
  171.5 13.16 13
  171.6 12.39 12
  171.7 11.25 11
  172.4 9.85 9
  172.5 10.35 10
  172.6 12.12 12
  172.7 13.91 13
  172.8 13.98 13
  172.9 12.26 12
  173.0 9.81 9
  173.3 6.39 6
  173.4 8.83 8
  173.5 12.02 12
  173.6 14.32 14
  173.7 15.43 15
  173.8 15.82 15
  173.9 15.7 15
  174.0 14.54 14
  174.1 12.22 12
  174.2 9.35 9
  174.4 7.27 7
  174.5 8.85 8
  174.6 10.61 10
  174.7 11.61 11
  174.8 11.83 11
  175.1 10.29 10
  175.2 11.59 11
  175.3 13.41 13
  175.4 14.58 14
  175.5 15.18 15
  175.6 16.15 16
  175.7 17.3 17
  175.8 17.43 17
  175.9 16.05 16
  176.0 14.32 14
