ACCESSION: NGA00140
RECORD_TITLE: Dihydroqinghaosu, Dihydroartemisinin.; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant
COMMENT: SubCategory_DNP: Sesquiterpenoids
CH$NAME: Dihydroqinghaosu, Dihydroartemisinin.
CH$COMPOUND_CLASS: Terpenoids
CH$FORMULA: C15H24O5
CH$EXACT_MASS: 284.3555
CH$SMILES: C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](O)OC3O[C@]4(C)CCC1C32OO4
CH$IUPAC: InChI=1S/C15H24O5/c1-8-4-5-11-9(2)12(16)17-13-15(11)10(8)6-7-14(3,18-13)19-20-15/h8-13,16H,4-7H2,1-3H3/t8-,9-,10?,11+,12+,13?,14+,15?/m1/s1
CH$LINK: CAS 71939-50-9
CH$LINK: CHEMSPIDER 2272104
CH$LINK: INCHIKEY BJDCWCLMFKKGEE-LVSKYXAASA-N
CH$LINK: PUBCHEM CID:44713104
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-000i-6988880000-5dcc1ac152f12cbd3f74
PK$NUM_PEAK: 1854
PK$PEAK: m/z int. rel.int.
  172.4 6.18 6
  172.5 8.61 8
  172.6 8.52 8
  172.7 5.82 5
  174.9 4.5 4
  175.0 7.65 7
  175.1 9.67 9
  175.2 9.08 9
  175.5 5.12 5
  175.6 7.75 7
  175.7 10.19 10
  175.8 10.04 10
  175.9 7.1 7
  176.2 3.89 3
  176.3 6.9 6
  176.4 8.79 8
  176.5 8.1 8
  176.8 5.27 5
  176.9 8.31 8
  177.0 10.35 10
  177.1 9.4 9
  177.2 6.31 6
  180.0 3.99 3
  180.1 6.76 6
  180.2 8.64 8
  180.3 7.86 7
  180.6 3.15 3
  180.7 6.26 6
  180.8 9.7 9
  180.9 10.84 10
  181.0 8.89 8
  181.3 4.56 4
  181.4 7.07 7
  181.5 8.66 8
  181.6 7.82 7
  184.5 4.75 4
  184.6 7.48 7
  184.7 9.48 9
  184.8 8.83 8
  185.1 3.9 3
  185.2 7.39 7
  185.3 10.39 10
  185.4 9.96 9
  185.5 6.64 6
  186.4 4.67 4
  186.5 7.33 7
  186.6 9.19 9
  186.7 8.41 8
  186.8 5.24 5
  188.3 2.71 2
  188.4 5.66 5
  188.5 8.89 8
  188.6 9.79 9
  188.7 7.84 7
  189.0 4.62 4
  189.1 7.49 7
  189.2 9.59 9
  189.3 9.18 9
  189.4 6.6 6
  190.9 5.27 5
  191.0 7.9 7
  191.1 9.49 9
  191.2 8.58 8
  192.2 4.51 4
  192.3 7.0 6
  192.4 8.56 8
  192.5 7.39 7
  192.8 2.56 2
  192.9 5.82 5
  193.0 8.66 8
  193.1 8.45 8
  193.2 5.54 5
  194.1 4.22 4
  194.2 7.45 7
  194.3 10.34 10
  194.4 10.34 10
  194.5 7.46 7
  196.6 5.15 5
  196.7 7.29 7
  196.8 9.14 9
  196.9 9.27 9
  197.0 7.31 7
  197.3 3.25 3
  197.4 5.86 5
  197.5 8.16 8
  197.6 8.26 8
  197.7 6.18 6
  198.0 4.06 4
  198.1 6.35 6
  198.2 7.91 7
  198.3 7.26 7
  198.6 3.87 3
  198.7 6.89 6
  198.8 8.96 8
  198.9 7.92 7
  199.2 2.83 2
  199.3 5.93 5
  199.4 8.71 8
  199.5 8.64 8
  201.8 4.15 4
  201.9 6.88 6
  202.0 8.81 8
  202.1 8.27 8
  203.0 3.2 3
  203.1 6.01 6
  203.2 9.54 9
  203.3 10.28 10
  203.4 7.07 7
  203.7 1.96 1
  203.8 6.52 6
  203.9 10.05 10
  204.0 10.01 9
  204.1 6.76 6
  205.0 4.3 4
  205.1 7.58 7
  205.2 9.83 9
  205.3 8.8 8
  205.6 4.16 4
  205.7 7.34 7
  205.8 9.61 9
  205.9 8.83 8
  206.9 4.09 4
  207.0 7.14 7
  207.1 9.21 9
  207.2 8.65 8
  208.8 2.34 2
  208.9 5.37 5
  209.0 8.16 8
  209.1 8.65 8
  210.1 4.33 4
  210.2 7.43 7
  210.3 9.42 9
  210.4 8.65 8
  210.5 5.72 5
  211.4 4.0 3
  211.5 7.45 7
  211.6 9.83 9
  211.7 8.49 8
  211.8 4.32 4
  212.0 1.39 1
  212.1 4.95 4
  212.2 8.58 8
  212.3 9.59 9
  213.3 4.24 4
  213.4 7.25 7
  213.5 9.09 9
  213.6 8.7 8
  213.7 6.69 6
  215.2 4.53 4
  215.3 7.62 7
  215.4 10.05 10
  215.5 10.09 10
  215.6 7.89 7
  217.1 3.65 3
  217.2 6.81 6
  217.3 9.59 9
  217.4 9.83 9
  217.5 7.85 7
  218.4 4.05 4
  218.5 6.7 6
  218.6 8.74 8
  218.7 8.21 8
  219.7 3.61 3
  219.8 6.41 6
  219.9 9.14 9
  220.0 9.34 9
  220.1 6.76 6
  221.6 3.42 3
  221.7 7.41 7
  221.8 10.92 10
  221.9 11.21 11
  222.0 8.34 8
  222.9 4.91 4
  223.0 7.93 7
  223.1 9.6 9
  223.2 8.38 8
  223.5 4.71 4
  223.6 7.01 7
  223.7 8.77 8
  223.8 8.64 8
  223.9 6.69 6
  224.8 5.43 5
  224.9 7.62 7
  225.0 8.96 8
  225.1 8.09 8
  226.7 4.33 4
  226.8 7.44 7
  226.9 10.12 10
  227.0 9.77 9
  227.1 6.63 6
  228.0 4.64 4
  228.1 7.2 7
  228.2 9.47 9
  228.3 9.07 9
  228.4 5.59 5
  229.3 4.34 4
  229.4 6.73 6
  229.5 8.24 8
  229.6 7.69 7
  230.6 3.46 3
  230.7 7.03 7
  230.8 9.18 9
  230.9 8.29 8
  231.2 4.96 4
  231.3 7.58 7
  231.4 9.81 9
  231.5 9.82 9
  231.6 7.55 7
  232.5 4.61 4
  232.6 6.88 6
  232.7 8.83 8
  232.8 8.68 8
  234.4 3.04 3
  234.5 6.43 6
  234.6 9.15 9
  234.7 8.85 8
  237.6 5.23 5
  237.7 7.57 7
  237.8 9.04 9
  237.9 8.62 8
  239.5 3.14 3
  239.6 6.02 6
  239.7 8.94 8
  239.8 9.79 9
  239.9 8.16 8
  245.9 3.89 3
  246.0 7.32 7
  246.1 10.6 10
  246.2 10.84 10
  246.3 7.76 7
  246.6 3.94 3
  246.7 7.32 7
  246.8 9.68 9
  246.9 9.33 9
  247.0 6.68 6
  247.8 1.42 1
  247.9 4.5 4
  248.0 8.3 8
  248.1 9.56 9
  248.2 7.31 7
  248.5 3.91 3
  248.6 7.31 7
  248.7 9.35 9
  248.8 8.44 8
  250.4 2.76 2
  250.5 5.3 5
  250.6 8.64 8
  250.7 10.03 10
  250.8 8.19 8
  251.1 5.0 4
  251.2 8.43 8
  251.3 10.28 10
  251.4 8.76 8
  251.7 3.67 3
  251.8 6.46 6
  251.9 8.6 8
  252.0 8.23 8
  253.6 4.6 4
  253.7 7.15 7
  253.8 9.28 9
  253.9 9.05 9
  254.0 6.63 6
  255.5 4.18 4
  255.6 6.95 6
  255.7 9.18 9
  255.8 9.26 9
  256.8 4.62 4
  256.9 7.71 7
  257.0 9.94 9
  257.1 9.37 9
  257.2 6.17 6
  258.1 4.87 4
  258.2 7.58 7
  258.3 9.54 9
  258.4 8.76 8
  260.0 2.82 2
  260.1 6.82 6
  260.2 10.03 10
  260.3 10.06 10
  260.4 7.26 7
  261.3 2.88 2
  261.4 5.68 5
  261.5 8.14 8
  261.6 8.54 8
  263.2 3.55 3
  263.3 6.25 6
  263.4 8.76 8
  263.5 9.15 9
  263.6 7.04 7
  264.5 4.08 4
  264.6 7.35 7
  264.7 9.56 9
  264.8 8.79 8
  264.9 5.73 5
  265.8 5.07 5
  265.9 7.73 7
  266.0 9.27 9
  266.1 8.36 8
  266.2 5.7 5
  267.7 3.67 3
  267.8 7.01 7
  267.9 9.34 9
  268.0 9.03 9
  268.1 6.63 6
  270.2 2.28 2
  270.3 5.63 5
  270.4 9.11 9
  270.5 10.01 9
  270.6 7.77 7
  270.9 3.39 3
  271.0 6.37 6
  271.1 8.84 8
  271.2 8.47 8
  272.8 4.8 4
  272.9 8.21 8
  273.0 10.24 10
  273.1 8.88 8
  273.4 3.25 3
  273.5 6.53 6
  273.6 9.52 9
  273.7 9.72 9
  273.8 7.1 7
  274.1 4.06 4
  274.2 6.64 6
  274.3 7.99 7
  274.4 6.87 6
  274.7 3.16 3
  274.8 5.82 5
  274.9 8.28 8
  275.0 8.64 8
  275.1 6.86 6
  275.4 4.93 4
  275.5 7.2 7
  275.6 8.62 8
  275.7 7.76 7
  276.0 5.38 5
  276.1 8.06 8
  276.2 9.39 9
  276.3 8.15 8
  279.2 3.2 3
  279.3 5.9 5
  279.4 8.47 8
  279.5 8.87 8
  280.5 4.21 4
  280.6 7.83 7
  280.7 9.89 9
  280.8 8.62 8
  281.1 3.35 3
  281.2 6.06 6
  281.3 8.7 8
  281.4 9.22 9
  281.5 7.32 7
  282.4 1.78 1
  282.5 4.83 4
  282.6 7.93 7
  282.7 8.51 8
  284.8 2.15 2
  284.9 4.18 4
  285.0 13.68 13
  285.1 32.44 32
  285.2 56.82 56
  285.3 75.24 75
  285.4 74.4 74
  285.5 53.29 53
  285.6 26.81 26
  285.7 10.64 10
  285.8 6.57 6
  286.2 3.78 3
  286.3 6.3 6
  286.4 8.74 8
  286.5 9.06 9
  286.6 6.85 6
  290.1 4.49 4
  290.2 7.88 7
  290.3 10.26 10
  290.4 9.73 9
  290.5 6.88 6
  293.3 4.97 4
  293.4 7.47 7
  293.5 8.87 8
  293.6 7.63 7
  293.9 4.37 4
  294.0 7.51 7
  294.1 10.31 10
  294.2 10.64 10
  294.3 8.09 8
  294.6 3.38 3
  294.7 6.18 6
  294.8 8.06 8
  294.9 7.33 7
  295.8 3.48 3
  295.9 6.44 6
  296.0 9.21 9
  296.1 9.64 9
  296.2 7.39 7
  296.5 4.43 4
  296.6 7.39 7
  296.7 9.32 9
  296.8 8.71 8
  297.8 5.05 5
  297.9 8.05 8
  298.0 9.97 9
  298.1 9.21 9
  299.7 3.93 3
  299.8 6.45 6
  299.9 8.24 8
  300.0 7.78 7
  300.3 3.91 3
  300.4 6.57 6
  300.5 9.55 9
  300.6 10.27 10
  300.7 8.08 8
  301.6 4.02 4
  301.7 6.37 6
  301.8 8.32 8
  301.9 7.86 7
  302.2 2.28 2
  302.3 5.16 5
  302.4 8.39 8
  302.5 9.18 9
  302.6 7.0 6
  302.9 4.01 4
  303.0 6.87 6
  303.1 8.79 8
  303.2 8.27 8
  303.5 4.71 4
  303.6 7.07 7
  303.7 9.33 9
  303.8 9.84 9
  303.9 8.34 8
  304.8 4.74 4
  304.9 7.32 7
  305.0 9.46 9
  305.1 8.99 8
  305.2 6.11 6
  306.7 3.07 3
  306.8 5.99 5
  306.9 8.72 8
  307.0 9.07 9
  307.1 6.68 6
  307.4 3.2 3
  307.5 6.51 6
  307.6 8.98 8
  307.7 8.8 8
  312.5 2.91 2
  312.6 6.13 6
  312.7 9.11 9
  312.8 9.32 9
  313.8 3.93 3
  313.9 6.44 6
  314.0 8.43 8
  314.1 8.63 8
  314.2 7.29 7
  314.3 5.9 5
  314.4 5.73 5
  314.5 6.75 6
  314.6 7.63 7
  314.7 6.9 6
  315.0 2.88 2
  315.1 5.86 5
  315.2 8.96 8
  315.3 9.6 9
  315.4 7.47 7
  315.7 3.71 3
  315.8 6.1 6
  315.9 8.03 8
  316.0 8.08 8
  318.9 1.72 1
  319.0 5.25 5
  319.1 9.01 9
  319.2 10.2 10
  319.3 8.21 8
  320.8 4.22 4
  320.9 7.38 7
  321.0 10.07 10
  321.1 9.85 9
  321.2 6.67 6
  321.5 4.28 4
  321.6 8.28 8
  321.7 10.79 10
  321.8 9.97 9
  321.9 6.88 6
  322.7 4.67 4
  322.8 7.18 7
  322.9 8.88 8
  323.0 8.4 8
  323.1 6.15 6
  325.3 4.88 4
  325.4 7.52 7
  325.5 9.33 9
  325.6 8.71 8
  326.5 3.17 3
  326.6 6.0 5
  326.7 8.86 8
  326.8 9.63 9
  326.9 7.69 7
  327.2 3.43 3
  327.3 6.13 6
  327.4 8.6 8
  327.5 9.13 9
  327.6 7.52 7
  328.5 4.08 4
  328.6 7.54 7
  328.7 9.45 9
  328.8 8.07 8
  329.8 2.84 2
  329.9 5.58 5
  330.0 8.23 8
  330.1 8.71 8
  331.7 4.28 4
  331.8 7.31 7
  331.9 9.85 9
  332.0 9.5 9
  332.1 6.6 6
  333.6 4.81 4
  333.7 6.93 6
  333.8 8.48 8
  333.9 8.11 8
  334.0 5.86 5
  334.9 4.48 4
  335.0 7.91 7
  335.1 10.21 10
  335.2 8.98 8
  335.5 3.69 3
  335.6 6.5 6
  335.7 8.34 8
  335.8 7.74 7
  336.8 3.39 3
  336.9 6.41 6
  337.0 8.99 8
  337.1 8.98 8
  338.1 4.56 4
  338.2 7.85 7
  338.3 10.13 10
  338.4 9.36 9
  338.5 5.98 5
  338.7 2.7 2
  338.8 5.86 5
  338.9 9.56 9
  339.0 10.5 10
  339.1 7.77 7
  339.4 4.21 4
  339.5 8.02 8
  339.6 10.21 10
  339.7 9.08 9
  340.0 4.37 4
  340.1 7.39 7
  340.2 9.91 9
