ACCESSION: CB000266
RECORD_TITLE: Gyrophoric acid; LC-ESI-QQQ; MS; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Microbe, Carboxylic acids
CH$NAME: Gyrophoric acid
CH$COMPOUND_CLASS: Carbohydrates
CH$FORMULA: C24H20O10
CH$EXACT_MASS: 468.421
CH$SMILES: Cc1cc(OC(=O)c2c(C)cc(OC(=O)c3c(C)cc(O)cc3O)cc2O)cc(O)c1C(=O)O
CH$IUPAC: InChI=1S/C24H20O10/c1-10-4-13(25)7-16(26)20(10)23(31)34-15-6-12(3)21(18(28)9-15)24(32)33-14-5-11(2)19(22(29)30)17(27)8-14/h4-9,25-28H,1-3H3,(H,29,30)
CH$LINK: CAS 548-89-0
CH$LINK: CHEMSPIDER 119550
CH$LINK: INCHIKEY ATQPZSQVWCPVGV-UHFFFAOYSA-N
CH$LINK: COMPTOX DTXSID30203289
CH$LINK: PUBCHEM CID:135728
AC$INSTRUMENT: ABSciex API3200 LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-0udi-0912402002-45e88868e472dc13b6c9
PK$NUM_PEAK: 644
PK$PEAK: m/z int. rel.int.
  1404.6000 21001.5000 92
  1404.8000 7000.5000 30
  1404.9000 7000.5000 30
  1405.2000 6922.7168 29
  1405.4000 13689.8662 60
  1405.5000 7000.5000 30
  1405.6000 21001.5000 92
  1405.7000 6922.7168 29
  1405.8000 6922.7168 29
  1405.9000 14001.0000 61
  1406.0000 7000.5000 30
  1407.1000 6922.7168 29
  1407.2000 7000.5000 30
  1407.5000 14001.0000 61
  1407.6000 7000.5000 30
  1415.6000 7000.5000 30
  1421.2000 6922.7168 29
  1421.3000 14001.0000 61
  1421.5000 7000.5000 30
  1421.8000 6922.7168 29
  1421.9000 7000.5000 30
  1422.0000 6844.9331 29
  1422.2000 6922.7168 29
  1422.5000 6922.7168 29
  1422.6000 7000.5000 30
  1422.7000 7000.5000 30
  1423.0000 7000.5000 30
  1423.7000 7000.5000 30
  1424.1000 6922.7168 29
  1424.2000 6922.7168 29
  1432.8000 7000.5000 30
  1433.4000 7000.5000 30
  1433.6000 7000.5000 30
  1436.8000 7000.5000 30
  1440.2000 6922.7168 29
  1456.7000 7000.5000 30
  1456.8000 6922.7168 29
  1457.6000 7000.5000 30
  1459.2000 7000.5000 30
  1459.6000 7000.5000 30
  1463.5000 7000.5000 30
  1472.0000 7000.5000 30
  1479.7000 7000.5000 30
  1485.2000 7000.5000 30
//
