ACCESSION: NGA02800
RECORD_TITLE: 9(11)-dehydrohecogenin; LC-ESI-QQQ; MS2; Frag=135.0V CID@25.0; [M+H]+
DATE: 2018.04.04
AUTHORS: Nogawa T, Okano A, CSRS, RIKEN
LICENSE: BY-CC
COMMENT: Origin: Plant, Sapogenins
CH$NAME: 9(11)-dehydrohecogenin
CH$COMPOUND_CLASS: Steroids
CH$FORMULA: C27H40O4
CH$EXACT_MASS: 428.6175
CH$SMILES: CC1CC[C@@]2(OC1)OC1CC3C4CC[C@H]5CC(O)CC[C@]5(C)C4=CC(=O)[C@]3(C)C1[C@@H]2C
CH$IUPAC: InChI=1S/C27H40O4/c1-15-7-10-27(30-14-15)16(2)24-22(31-27)12-21-19-6-5-17-11-18(28)8-9-25(17,3)20(19)13-23(29)26(21,24)4/h13,15-19,21-22,24,28H,5-12,14H2,1-4H3/t15?,16-,17-,18?,19?,21?,22?,24?,25-,26+,27+/m0/s1
CH$LINK: CAS 3514-26-9
CH$LINK: CHEMSPIDER 4954026
CH$LINK: INCHIKEY YLZUMNXGXFXZNQ-YQFCHWDISA-N
AC$INSTRUMENT: Agilent 6410 Triple Quadrupole LC/MS system
AC$INSTRUMENT_TYPE: LC-ESI-QQQ
AC$MASS_SPECTROMETRY: MS_TYPE MS2
AC$MASS_SPECTROMETRY: ION_MODE POSITIVE
MS$FOCUSED_ION: PRECURSOR_TYPE [M+H]+
PK$SPLASH: splash10-03xr-1962100000-660ded512b8b96b3b6f2
PK$NUM_PEAK: 942
PK$PEAK: m/z int. rel.int.
  193.0 12.98 12
  193.1 14.14 14
  193.2 12.96 12
  193.3 10.04 10
  193.4 6.49 6
  193.5 3.45 3
  194.8 3.15 3
  194.9 4.81 4
  195.0 6.81 6
  195.1 8.36 8
  195.2 8.92 8
  195.3 8.3 8
  195.4 6.57 6
  195.5 4.09 4
  195.6 1.68 1
  196.6 2.79 2
  196.7 4.42 4
  196.8 7.46 7
  196.9 10.63 10
  197.0 12.97 12
  197.1 14.46 14
  197.2 15.11 15
  197.3 14.02 14
  197.4 10.47 10
  197.5 5.47 5
  197.6 1.34 1
  198.5 2.02 2
  198.6 3.57 3
  198.7 6.42 6
  198.8 10.96 10
  198.9 16.33 16
  199.0 20.64 20
  199.1 22.62 22
  199.2 22.43 22
  199.3 20.59 20
  199.4 16.86 16
  199.5 11.09 11
  199.6 4.82 4
  200.5 1.95 1
  200.6 3.34 3
  200.7 5.62 5
  200.8 9.04 9
  200.9 13.59 13
  201.0 18.37 18
  201.1 21.89 21
  201.2 22.99 22
  201.3 21.24 21
  201.4 16.7 16
  201.5 10.24 10
  201.6 4.0 3
  202.4 0.81 0
  202.5 2.46 2
  202.6 5.42 5
  202.7 10.19 10
  202.8 17.02 17
  202.9 24.74 24
  203.0 30.71 30
  203.1 32.87 32
  203.2 31.03 30
  203.3 25.72 25
  203.4 17.55 17
  203.5 8.46 8
  203.6 1.63 1
  206.7 1.79 1
  206.8 3.34 3
  206.9 4.87 4
  207.0 5.4 5
  207.1 4.83 4
  207.2 3.89 3
  207.3 3.1 3
  207.4 2.37 2
  207.5 1.36 1
  207.6 0.46 0
  207.7 0.09 0
  207.8 0.08 0
  207.9 0.1 0
  208.0 0.13 0
  208.1 0.17 0
  208.2 0.2 0
  208.3 0.19 0
  208.4 0.18 0
  208.5 0.31 0
  208.6 0.76 0
  208.7 1.89 1
  208.8 3.95 3
  208.9 6.88 6
  209.0 9.92 9
  209.1 11.95 11
  209.2 12.41 12
  209.3 11.52 11
  209.4 9.49 9
  209.5 6.4 6
  209.6 2.98 2
  210.5 2.7 2
  210.6 3.97 3
  210.7 5.79 5
  210.8 8.09 8
  210.9 10.52 10
  211.0 12.99 12
  211.1 15.51 15
  211.2 17.3 17
  211.3 16.69 16
  211.4 12.86 12
  211.5 7.21 7
  211.6 2.33 2
  212.5 1.36 1
  212.6 2.32 2
  212.7 4.36 4
  212.8 7.42 7
  212.9 10.36 10
  213.0 11.87 11
  213.1 11.65 11
  213.2 10.22 10
  213.3 7.95 7
  213.4 5.06 5
  213.5 2.27 2
  214.7 2.55 2
  214.8 4.74 4
  214.9 9.32 9
  215.0 15.22 15
  215.1 19.21 19
  215.2 18.95 18
  215.3 15.24 15
  215.4 10.37 10
  215.5 5.77 5
  215.6 2.2 2
  216.7 1.12 1
  216.8 2.59 2
  216.9 5.13 5
  217.0 7.7 7
  217.1 8.81 8
  217.2 8.0 7
  217.3 6.28 6
  217.4 4.62 4
  217.5 3.04 3
  222.7 2.44 2
  222.8 4.12 4
  222.9 6.67 6
  223.0 9.26 9
  223.1 10.79 10
  223.2 10.63 10
  223.3 8.92 8
  223.4 6.26 6
  223.5 3.41 3
  224.5 2.79 2
  224.6 4.25 4
  224.7 6.14 6
  224.8 7.81 7
  224.9 9.45 9
  225.0 11.78 11
  225.1 14.24 14
  225.2 14.59 14
  225.3 11.37 11
  225.4 5.98 5
  225.5 1.46 1
  226.7 2.32 2
  226.8 3.28 3
  226.9 4.44 4
  227.0 5.63 5
  227.1 6.57 6
  227.2 7.05 7
  227.3 6.81 6
  227.4 5.58 5
  227.5 3.58 3
  228.5 1.28 1
  228.6 4.14 4
  228.7 10.23 10
  228.8 18.67 18
  228.9 26.7 26
  229.0 31.64 31
  229.1 32.88 32
  229.2 31.56 31
  229.3 28.39 28
  229.4 22.66 22
  229.5 14.13 14
  229.6 5.37 5
  229.7 0.36 0
  230.7 1.84 1
  230.8 3.41 3
  230.9 4.93 4
  231.0 5.97 5
  231.1 6.2 6
  231.2 5.48 5
  231.3 4.07 4
  231.4 2.5 2
  232.7 1.15 1
  232.8 2.77 2
  232.9 5.21 5
  233.0 7.47 7
  233.1 8.72 8
  233.2 8.71 8
  233.3 7.33 7
  233.4 4.79 4
  233.5 2.12 2
  236.8 1.89 1
  236.9 3.43 3
  237.0 5.45 5
  237.1 7.11 7
  237.2 7.37 7
  237.3 6.08 6
  237.4 4.18 4
  237.5 2.6 2
  238.7 1.7 1
  238.8 3.64 3
  238.9 6.85 6
  239.0 10.55 10
  239.1 13.29 13
  239.2 14.02 14
  239.3 12.54 12
  239.4 9.34 9
  239.5 5.4 5
  239.6 2.12 2
  240.7 2.02 2
  240.8 3.81 3
  240.9 7.1 7
  241.0 10.47 10
  241.1 12.19 12
  241.2 11.75 11
  241.3 9.84 9
  241.4 7.22 7
  241.5 4.4 4
  241.6 1.92 1
  242.7 2.41 2
  242.8 3.48 3
  242.9 4.57 4
  243.0 5.6 5
  243.1 6.71 6
  243.2 7.67 7
  243.3 7.64 7
  243.4 5.93 5
  243.5 3.16 3
  246.6 1.68 1
  246.7 2.73 2
  246.8 3.8 3
  246.9 4.67 4
  247.0 5.27 5
  247.1 5.71 5
  247.2 5.97 5
  247.3 5.63 5
  247.4 4.31 4
  247.5 2.37 2
  248.8 1.38 1
  248.9 3.75 3
  249.0 7.12 7
  249.1 10.13 10
  249.2 11.52 11
  249.3 10.7 10
  249.4 7.93 7
  249.5 4.46 4
  250.8 2.82 2
  250.9 3.98 3
  251.0 5.22 5
  251.1 6.29 6
  251.2 6.64 6
  251.3 5.71 5
  251.4 3.7 3
  251.5 1.6 1
  252.8 3.37 3
  252.9 4.5 4
  253.0 6.44 6
  253.1 8.83 8
  253.2 9.71 9
  253.3 7.64 7
  253.4 3.86 3
  255.0 6.16 6
  255.1 7.96 7
  255.2 9.87 9
  255.3 9.81 9
  255.4 7.01 7
  255.5 3.13 3
  256.7 1.0 0
  256.8 2.04 2
  256.9 4.03 4
  257.0 6.5 6
  257.1 8.1 8
  257.2 7.67 7
  257.3 5.5 5
  257.4 2.93 2
  266.4 2.34 2
  266.5 3.32 3
  266.6 4.42 4
  266.7 6.9 6
  266.8 11.89 11
  266.9 18.71 18
  267.0 25.26 25
  267.1 29.95 29
  267.2 32.19 32
  267.3 31.02 30
  267.4 25.23 25
  267.5 15.7 15
  267.6 6.15 6
  267.7 0.48 0
  268.6 1.57 1
  268.7 3.2 3
  268.8 5.21 5
  268.9 7.2 7
  269.0 8.88 8
  269.1 10.17 10
  269.2 10.87 10
  269.3 10.49 10
  269.4 8.62 8
  269.5 5.51 5
  269.6 2.3 2
  278.4 1.32 1
  278.5 2.59 2
  278.6 3.65 3
  278.7 4.97 4
  278.8 7.99 7
  278.9 13.34 13
  279.0 19.92 19
  279.1 25.84 25
  279.2 29.28 29
  279.3 28.38 28
  279.4 22.16 22
  279.5 12.57 12
  279.6 4.06 4
  280.5 1.41 1
  280.6 2.54 2
  280.7 3.45 3
  280.8 4.03 4
  280.9 4.6 4
  281.0 5.27 5
  281.1 5.6 5
  281.2 5.06 5
  281.3 3.79 3
  281.4 2.37 2
  284.5 1.67 1
  284.6 2.96 2
  284.7 5.62 5
  284.8 10.11 10
  284.9 15.84 15
  285.0 21.15 21
  285.1 24.4 24
  285.2 25.09 25
  285.3 23.25 23
  285.4 18.59 18
  285.5 11.5 11
  285.6 4.31 4
  285.7 0.26 0
  286.7 1.31 1
  286.8 3.22 3
  286.9 5.71 5
  287.0 7.86 7
  287.1 8.66 8
  287.2 7.63 7
  287.3 5.21 5
  287.4 2.52 2
  294.8 4.16 4
  294.9 5.63 5
  295.0 8.7 8
  295.1 11.93 11
  295.2 13.19 13
  295.3 11.82 11
  295.4 8.82 8
  295.5 5.45 5
  295.6 2.52 2
  296.3 0.39 0
  296.4 1.86 1
  296.5 4.66 4
  296.6 8.21 8
  296.7 12.39 12
  296.8 18.44 18
  296.9 27.74 27
  297.0 39.36 39
  297.1 49.99 49
  297.2 56.48 56
  297.3 56.96 56
  297.4 50.01 49
  297.5 35.73 35
  297.6 18.27 18
  297.7 4.46 4
  297.8 0.03 0
  298.8 1.47 1
  298.9 3.19 3
  299.0 5.48 5
  299.1 7.08 7
  299.2 6.74 6
  299.3 4.56 4
  299.4 2.06 2
  302.7 1.7 1
  302.8 2.65 2
  302.9 4.08 4
  303.0 5.8 5
  303.1 6.94 6
  303.2 6.7 6
  303.3 5.31 5
  303.4 3.66 3
  303.5 2.32 2
  314.4 0.89 0
  314.5 3.69 3
  314.6 7.82 7
  314.7 12.86 12
  314.8 20.32 20
  314.9 33.08 33
  315.0 51.79 51
  315.1 72.18 72
  315.2 86.76 86
  315.3 89.11 89
  315.4 76.92 76
  315.5 53.32 53
  315.6 26.57 26
  315.7 6.24 6
  315.8 0.0 0
  374.8 2.94 2
  374.9 4.23 4
  375.0 5.69 5
  375.1 7.0 6
  375.2 8.28 8
  375.3 9.4 9
  375.4 9.26 9
  375.5 6.89 6
  375.6 3.22 3
  392.4 1.54 1
  392.5 3.02 3
  392.6 6.07 6
  392.7 10.69 10
  392.8 16.37 16
  392.9 22.81 22
  393.0 30.51 30
  393.1 39.47 39
  393.2 47.6 47
  393.3 51.63 51
  393.4 48.85 48
  393.5 38.29 38
  393.6 22.46 22
  393.7 7.54 7
  393.8 0.23 0
  410.3 0.99 0
  410.4 2.05 2
  410.5 4.38 4
  410.6 8.52 8
  410.7 15.2 15
  410.8 25.12 25
  410.9 38.71 38
  411.0 55.63 55
  411.1 74.07 73
  411.2 90.52 90
  411.3 100.0 99
  411.4 96.86 96
  411.5 77.88 77
  411.6 47.43 47
  411.7 17.62 17
  411.8 1.0 0
  428.8 2.55 2
  428.9 3.63 3
  429.0 4.9 4
  429.1 6.34 6
  429.2 7.65 7
  429.3 8.44 8
  429.4 8.26 8
  429.5 6.73 6
  429.6 4.11 4
  429.7 1.52 1
//
