  247.7 8.11 8
  247.8 7.81 7
  247.9 6.78 6
  248.0 5.34 5
  248.3 4.4 4
  248.4 6.21 6
  248.5 7.96 7
  248.6 8.45 8
  248.7 7.54 7
  248.8 6.2 6
  252.8 4.91 4
  252.9 6.37 6
  253.0 7.59 7
  253.1 7.77 7
  253.2 7.09 7
  253.3 6.39 6
  253.4 6.02 6
  253.5 5.57 5
  263.7 5.02 5
  263.8 6.24 6
  263.9 7.53 7
  264.0 8.22 8
  264.1 8.01 8
  264.2 6.96 6
  264.3 5.43 5
  266.9 4.86 4
  267.0 5.64 5
  267.1 6.39 6
  267.2 7.11 7
  267.3 7.68 7
  267.4 7.76 7
  267.5 7.13 7
  267.6 6.03 6
  271.5 4.18 4
  271.6 5.37 5
  271.7 6.86 6
  271.8 7.77 7
  271.9 7.57 7
  273.7 3.05 3
  273.8 4.2 4
  273.9 5.47 5
  274.0 6.42 6
  274.1 6.67 6
  274.2 6.23 6
  274.3 5.58 5
  274.4 5.22 5
  274.5 5.04 5
  274.6 4.58 4
  274.7 3.75 3
  274.8 3.07 3
  274.9 3.12 3
  275.0 4.03 4
  275.1 5.45 5
  275.2 6.89 6
  275.3 7.69 7
  275.4 7.4 7
  275.5 6.28 6
  275.6 5.16 5
  276.1 3.14 3
  276.2 4.43 4
  276.3 6.05 6
  276.4 7.23 7
  276.5 7.71 7
  276.6 7.78 7
  276.7 7.55 7
  276.8 7.0 6
  276.9 6.26 6
  277.0 5.63 5
  277.1 5.32 5
  277.2 5.46 5
  277.3 6.09 6
  277.4 6.93 6
  277.5 7.26 7
  277.6 6.64 6
  279.9 4.48 4
  280.0 5.56 5
  280.1 6.63 6
  280.2 7.31 7
  280.3 7.43 7
  280.4 6.79 6
  280.8 5.22 5
  280.9 6.78 6
  281.0 8.04 8
  281.1 8.43 8
  281.2 7.88 7
  281.3 6.86 6
  281.4 5.82 5
  285.9 3.1 3
  286.0 4.58 4
  286.1 6.53 6
  286.2 8.05 8
  286.3 8.29 8
  286.4 7.35 7
  286.5 6.28 6
  286.6 5.98 5
  286.7 6.29 6
  286.8 6.49 6
  286.9 6.5 6
  287.0 6.67 6
  287.1 7.04 7
  287.2 7.26 7
  287.3 7.19 7
  287.4 6.9 6
  287.5 6.53 6
  287.6 6.04 6
  287.7 5.55 5
  287.8 5.27 5
  287.9 5.39 5
  288.0 5.81 5
  288.1 6.16 6
  288.2 6.21 6
  288.3 6.13 6
  288.4 5.98 5
  288.5 5.61 5
  288.6 4.9 4
  288.7 4.23 4
  288.8 4.15 4
  288.9 4.66 4
  289.0 5.18 5
  289.1 5.28 5
  289.2 5.2 5
  289.3 5.4 5
  289.4 5.86 5
  289.5 6.16 6
  289.6 6.02 6
  289.7 5.41 5
  290.1 3.86 3
  290.2 5.01 5
  290.3 6.08 6
  290.4 6.53 6
  290.5 6.43 6
  290.6 5.97 5
  290.7 5.23 5
  291.4 3.6 3
  291.5 5.1 5
  291.6 6.72 6
  291.7 8.24 8
  291.8 9.24 9
  291.9 9.15 9
  292.0 7.98 7
  292.1 6.27 6
  292.5 4.49 4
  292.6 5.75 5
  292.7 6.78 6
  292.8 6.96 6
  292.9 6.2 6
  293.0 5.0 4
  293.5 3.98 3
  293.6 5.36 5
  293.7 6.52 6
  293.8 6.78 6
  293.9 6.06 6
  295.9 3.76 3
  296.0 5.14 5
  296.1 6.49 6
  296.2 7.38 7
  296.3 7.63 7
  296.4 7.08 7
  298.4 3.82 3
  298.5 4.43 4
  298.6 5.23 5
  298.7 6.16 6
  298.8 6.77 6
  298.9 6.75 6
  299.0 6.19 6
  299.1 5.45 5
  299.2 4.9 4
  299.3 4.85 4
  299.4 5.37 5
  299.5 6.23 6
  299.6 7.01 7
  299.7 7.34 7
  299.8 6.93 6
  299.9 5.72 5
  300.0 4.18 4
  300.5 3.46 3
  300.6 4.7 4
  300.7 6.04 6
  300.8 6.89 6
  300.9 6.8 6
  301.0 5.94 5
  301.1 5.05 5
  301.2 4.78 4
  301.3 5.1 5
  301.4 5.57 5
  301.5 5.95 5
  301.6 6.17 6
  301.7 6.0 5
  301.8 5.29 5
  301.9 4.48 4
  302.0 4.2 4
  302.1 4.55 4
  302.2 4.9 4
  302.3 4.81 4
  302.4 4.59 4
  302.5 4.82 4
  302.6 5.68 5
  302.7 6.64 6
  302.8 7.0 6
  302.9 6.55 6
  303.0 5.75 5
  303.1 5.09 5
  303.2 4.66 4
  303.3 4.31 4
  303.4 3.98 3
  303.5 3.74 3
  303.6 3.61 3
  303.7 3.57 3
  303.8 3.54 3
  303.9 3.49 3
  304.0 3.62 3
  304.1 4.26 4
  304.2 5.31 5
  304.3 5.89 5
  304.4 5.25 5
  307.7 2.28 2
  307.8 3.92 3
  307.9 5.8 5
  308.0 7.26 7
  308.1 7.97 7
  308.2 7.77 7
  308.3 6.52 6
  308.4 4.41 4
  308.7 2.02 2
  308.8 3.57 3
  308.9 4.79 4
  309.0 4.99 4
  309.1 4.41 4
  309.2 3.88 3
  309.3 4.18 4
  309.4 5.49 5
  309.5 7.04 7
  309.6 7.77 7
  309.7 7.19 7
  329.7 2.9 2
  329.8 4.31 4
  329.9 5.84 5
  330.0 7.03 7
  330.1 7.46 7
  330.2 7.22 7
  330.3 6.85 6
  330.4 6.51 6
  330.5 5.79 5
  333.2 3.36 3
  333.3 4.76 4
  333.4 5.96 5
  333.5 6.59 6
  333.6 7.0 6
  333.7 7.47 7
  333.8 7.53 7
  333.9 6.54 6
  334.0 4.56 4
  334.3 2.37 2
  334.4 3.76 3
  334.5 4.92 4
  334.6 5.5 5
  334.7 5.67 5
  334.8 5.73 5
  334.9 5.77 5
  335.0 5.77 5
  335.1 5.73 5
  335.2 5.6 5
  335.3 5.38 5
  335.4 5.27 5
  335.5 5.53 5
  335.6 6.16 6
  335.7 6.6 6
  335.8 6.41 6
  335.9 5.9 5
  336.0 5.8 5
  336.1 6.35 6
  336.2 6.89 6
  336.3 6.77 6
  336.4 6.17 6
  336.5 5.89 5
  336.6 6.28 6
  336.7 7.01 7
  336.8 7.66 7
  336.9 8.12 8
  337.0 8.22 8
  337.1 7.76 7
  337.2 6.83 6
  337.3 5.81 5
  347.2 5.95 5
  347.3 7.01 7
  347.4 7.73 7
  347.5 8.06 8
  347.6 8.14 8
  347.7 8.0 7
  347.8 7.65 7
  347.9 7.28 7
  348.0 7.11 7
  348.1 7.19 7
  348.2 7.49 7
  348.3 7.87 7
  348.4 7.91 7
  348.5 7.38 7
  348.6 6.66 6
  348.7 6.51 6
  348.8 7.28 7
  348.9 8.47 8
  349.0 9.16 9
  349.1 8.77 8
  349.2 7.5 7
  355.2 6.29 6
  355.3 7.58 7
  355.4 8.72 8
  355.5 9.27 9
  355.6 9.3 9
  355.7 9.12 9
  355.8 8.77 8
  355.9 8.14 8
  356.0 7.42 7
  356.1 7.1 7
  356.2 7.28 7
  356.3 7.55 7
  356.4 7.5 7
  356.5 7.17 7
  356.6 6.61 6
  357.0 5.15 5
  357.1 6.46 6
  357.2 7.37 7
  357.3 7.45 7
  357.4 7.01 7
  357.5 6.42 6
  357.6 5.9 5
  357.7 5.71 5
  357.8 5.97 5
  357.9 6.5 6
  358.0 6.83 6
  358.1 6.86 6
  358.2 6.9 6
  358.3 7.17 7
  358.4 7.48 7
  358.5 7.59 7
  358.6 7.54 7
  358.7 7.58 7
  358.8 7.83 7
  358.9 8.1 8
  359.0 8.16 8
  359.1 7.84 7
  359.2 7.27 7
  359.3 6.72 6
  359.4 6.22 6
  361.0 5.65 5
  361.1 6.97 6
  361.2 8.34 8
  361.3 9.11 9
  361.4 8.96 8
  361.5 8.16 8
  361.6 7.46 7
  361.7 7.25 7
  361.8 7.22 7
  361.9 6.77 6
  362.0 5.8 5
  362.1 4.96 4
  362.2 5.08 5
  362.3 6.1 6
  362.4 7.1 7
  362.5 7.23 7
  362.6 6.68 6
  362.7 6.21 6
  362.8 6.11 6
  362.9 6.04 6
  363.0 5.79 5
  363.1 5.53 5
  363.2 5.48 5
  363.3 5.8 5
  363.4 6.67 6
  363.5 7.8 7
  363.6 8.36 8
  363.7 7.93 7
  363.8 7.19 7
  363.9 7.02 7
  364.0 7.26 7
  364.1 7.06 7
  364.2 6.08 6
  364.6 4.95 4
  364.7 6.03 6
  364.8 7.3 7
  364.9 8.29 8
  365.0 8.46 8
  365.1 7.77 7
  365.2 6.77 6
  369.1 3.54 3
  369.2 4.96 4
  369.3 6.28 6
  369.4 6.89 6
  369.5 7.0 6
  369.6 7.31 7
  369.7 8.07 8
  369.8 8.73 8
  369.9 8.39 8
  370.0 6.85 6
  372.6 5.24 5
  372.7 6.47 6
  372.8 7.4 7
  372.9 7.68 7
  373.0 7.45 7
  373.1 6.99 6
  373.2 6.46 6
  373.3 5.97 5
  373.4 5.52 5
  373.5 5.1 5
  373.6 4.82 4
  373.7 4.89 4
  373.8 5.29 5
  373.9 5.68 5
  374.0 5.72 5
  374.1 5.52 5
  374.2 5.33 5
  374.3 5.14 5
  374.4 4.86 4
  374.5 4.73 4
  374.6 5.01 5
  374.7 5.53 5
  374.8 5.81 5
  374.9 5.7 5
  375.0 5.65 5
  375.1 5.94 5
  375.2 6.23 6
  375.3 6.15 6
  375.4 5.84 5
  375.5 5.79 5
  375.6 6.07 6
  375.7 6.36 6
  375.8 6.49 6
  375.9 6.6 6
  376.0 6.83 6
  376.1 7.19 7
  376.2 7.6 7
  376.3 7.86 7
  376.4 7.66 7
  376.5 6.94 6
  376.6 5.98 5
  377.1 4.96 4
  377.2 6.23 6
  377.3 7.7 7
  377.4 9.0 8
  377.5 9.78 9
  377.6 9.91 9
  377.7 9.55 9
  377.8 8.94 8
  377.9 8.09 8
  378.0 6.79 6
  378.1 5.18 5
  378.5 3.86 3
  378.6 4.97 4
  378.7 5.87 5
  378.8 6.26 6
